row_idx,row,truncated_cells
0,"{'id': '0', 'translation': {'en': 'Source: Project GutenbergAudiobook available here', 'hu': 'Source: mek.oszk.huTranslation: Szenczi MiklósAudiobook available here'}}",[]
1,"{'id': '1', 'translation': {'en': 'Pride and Prejudice', 'hu': 'Büszkeség és balítélet'}}",[]
2,"{'id': '2', 'translation': {'en': 'Jane Austen', 'hu': 'Jane Austen'}}",[]
3,"{'id': '3', 'translation': {'en': 'Chapter 1', 'hu': 'I. KÖNYV 1. FEJEZET'}}",[]
4,"{'id': '4', 'translation': {'en': 'It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.', 'hu': 'Általánosan elismert igazság, hogy a legényembernek, ha vagyonos, okvetlenül kell feleség.'}}",[]
5,"{'id': '5', 'translation': {'en': 'However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered the rightful property of some one or other of their daughters.', 'hu': 'Ez az igazság oly mélyen bevésődött a vidéki családok lelkébe, hogy ha ilyen ember csöppen a szomszédságukba, rögtön egyik vagy másik leányuk jog szerinti tulajdonának tekintik, még ha nem ismerik is érzéseit vagy nézeteit.'}}",[]
6,"{'id': '6', 'translation': {'en': '""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?""', 'hu': 'Kedves Bennet - mondta Mrs. Bennet férjének egy napon -, hallotta már, hogy Netherfield Park végre bérlőre talált?'}}",[]
7,"{'id': '7', 'translation': {'en': 'Mr. Bennet replied that he had not.', 'hu': 'Mr. Bennet azt válaszolta, hogy erről nem tud.'}}",[]
8,"{'id': '8', 'translation': {'en': '""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it.""', 'hu': 'Pedig így van - erősködött az asszony. - Mrs. Long az imént járt itt, és mindent elmesélt.'}}",[]
9,"{'id': '9', 'translation': {'en': 'Mr. Bennet made no answer.', 'hu': 'Mr. Bennet nem felelt.'}}",[]
10,"{'id': '10', 'translation': {'en': '""Do you not want to know who has taken it?"" cried his wife impatiently.', 'hu': 'Nem is kíváncsi, hogy ki a bérlő?! - kiáltotta az asszony türelmetlenül.'}}",[]
